"seq" ;"instrucao"    ;"Z80"   ;"Z80-M1" ;"R800" ;"r800+"   ;"opcode" ;"op2"       ;"op3" ;"op4"     ;"num"
131   ;"JP C,nn"      ;10      ;11       ;3      ;"5/3"     ;"DA"     ;"nn"        ;"nn"  ;"-"       ;3
43    ;"CALL C,nn"    ;"17/10" ;"18/11"  ;"5/3"  ;"8/7/3"   ;"DC"     ;"nn"        ;"nn"  ;"-"       ;3
172   ;"LD B,(IX+o)"  ;19      ;21       ;5      ;7         ;"DD"     ;"46"        ;"o"   ;"-"       ;3
197   ;"LD E,(IX+o)"  ;19      ;21       ;5      ;7         ;"DD"     ;"5E"        ;"o"   ;"-"       ;3
213   ;"LD IXh,n"     ;11      ;13       ;3      ;3         ;"DD"     ;"26"        ;"n"   ;"-"       ;3
215   ;"LD IXl,n"     ;11      ;13       ;3      ;3         ;"DD"     ;"2E"        ;"n"   ;"-"       ;3
66    ;"DEC (IX+o)"   ;23      ;25       ;7      ;10        ;"DD"     ;"35"        ;"o"   ;"-"       ;3
106   ;"INC (IX+o)"   ;23      ;25       ;7      ;10        ;"DD"     ;"34"        ;"o"   ;"-"       ;3
149   ;"LD (IX+o),r"  ;19      ;21       ;5      ;7         ;"DD"     ;"70 +r"     ;"o"   ;"-"       ;3
162   ;"LD A,(IX+o)"  ;19      ;21       ;5      ;7         ;"DD"     ;"7E"        ;"o"   ;"-"       ;3
181   ;"LD C,(IX+o)"  ;19      ;21       ;5      ;7         ;"DD"     ;"4E"        ;"o"   ;"-"       ;3
188   ;"LD D,(IX+o)"  ;19      ;21       ;5      ;7         ;"DD"     ;"56"        ;"o"   ;"-"       ;3
204   ;"LD H,(IX+o)"  ;19      ;21       ;5      ;7         ;"DD"     ;"66"        ;"o"   ;"-"       ;3
224   ;"LD L,(IX+o)"  ;19      ;21       ;5      ;7         ;"DD"     ;"6E"        ;"o"   ;"-"       ;3
13    ;"ADD A,(IX+o)" ;19      ;21       ;5      ;7         ;"DD"     ;"86"        ;"o"   ;"-"       ;3
2     ;"ADC A,(IX+o)" ;19      ;21       ;5      ;7         ;"DD"     ;"8E"        ;"o"   ;"-"       ;3
32    ;"AND (IX+o)"   ;19      ;21       ;5      ;7         ;"DD"     ;"A6"        ;"o"   ;"-"       ;3
53    ;"CP (IX+o)"    ;19      ;21       ;5      ;7         ;"DD"     ;"BE"        ;"o"   ;"-"       ;3
244   ;"OR (IX+o)"    ;19      ;21       ;5      ;7         ;"DD"     ;"B6"        ;"o"   ;"-"       ;3
320   ;"SBC A,(IX+o)" ;19      ;21       ;5      ;7         ;"DD"     ;"9E"        ;"o"   ;"-"       ;3
348   ;"SUB (IX+o)"   ;19      ;21       ;5      ;7         ;"DD"     ;"96"        ;"o"   ;"-"       ;3
355   ;"XOR (IX+o)"   ;19      ;21       ;5      ;7         ;"DD"     ;"AE"        ;"o"   ;"-"       ;3
137   ;"JP PO,nn"     ;10      ;11       ;3      ;"5/3"     ;"E2"     ;"nn"        ;"nn"  ;"-"       ;3
49    ;"CALL PO,nn"   ;"17/10" ;"18/11"  ;"5/3"  ;"8/7/3"   ;"E4"     ;"nn"        ;"nn"  ;"-"       ;3
136   ;"JP PE,nn"     ;10      ;11       ;3      ;"5/3"     ;"EA"     ;"nn"        ;"nn"  ;"-"       ;3
48    ;"CALL PE,nn"   ;"17/10" ;"18/11"  ;"5/3"  ;"8/7/3"   ;"EC"     ;"nn"        ;"nn"  ;"-"       ;3
135   ;"JP P,nn"      ;10      ;11       ;3      ;"5/3"     ;"F2"     ;"nn"        ;"nn"  ;"-"       ;3
47    ;"CALL P,nn"    ;"17/10" ;"18/11"  ;"5/3"  ;"8/7/3"   ;"F4"     ;"nn"        ;"nn"  ;"-"       ;3
132   ;"JP M,nn"      ;10      ;11       ;3      ;"5/3"     ;"FA"     ;"nn"        ;"nn"  ;"-"       ;3
44    ;"CALL M,nn"    ;"17/10" ;"18/11"  ;"5/3"  ;"8/7/3"   ;"FC"     ;"nn"        ;"nn"  ;"-"       ;3
54    ;"CP (IY+o)"    ;19      ;21       ;5      ;7         ;"FD"     ;"BE"        ;"o"   ;"-"       ;3
189   ;"LD D,(IY+o)"  ;19      ;21       ;5      ;7         ;"FD"     ;"56"        ;"o"   ;"-"       ;3
3     ;"ADC A,(IY+o)" ;19      ;21       ;5      ;7         ;"FD"     ;"8E"        ;"o"   ;"-"       ;3
14    ;"ADD A,(IY+o)" ;19      ;21       ;5      ;7         ;"FD"     ;"86"        ;"o"   ;"-"       ;3
33    ;"AND (IY+o)"   ;19      ;21       ;5      ;7         ;"FD"     ;"A6"        ;"o"   ;"-"       ;3
67    ;"DEC (IY+o)"   ;23      ;25       ;7      ;10        ;"FD"     ;"35"        ;"o"   ;"-"       ;3
107   ;"INC (IY+o)"   ;23      ;25       ;7      ;10        ;"FD"     ;"34"        ;"o"   ;"-"       ;3
151   ;"LD (IY+o),r"  ;19      ;21       ;5      ;7         ;"FD"     ;"70 +r"     ;"o"   ;"-"       ;3
163   ;"LD A,(IY+o)"  ;19      ;21       ;5      ;7         ;"FD"     ;"7E"        ;"o"   ;"-"       ;3
173   ;"LD B,(IY+o)"  ;19      ;21       ;5      ;7         ;"FD"     ;"46"        ;"o"   ;"-"       ;3
182   ;"LD C,(IY+o)"  ;19      ;21       ;5      ;7         ;"FD"     ;"4E"        ;"o"   ;"-"       ;3
198   ;"LD E,(IY+o)"  ;19      ;21       ;5      ;7         ;"FD"     ;"5E"        ;"o"   ;"-"       ;3
205   ;"LD H,(IY+o)"  ;19      ;21       ;5      ;7         ;"FD"     ;"66"        ;"o"   ;"-"       ;3
219   ;"LD IYh,n"     ;11      ;13       ;3      ;3         ;"FD"     ;"26"        ;"n"   ;"-"       ;3
221   ;"LD IYl,n"     ;11      ;13       ;3      ;3         ;"FD"     ;"2E"        ;"n"   ;"-"       ;3
225   ;"LD L,(IY+o)"  ;19      ;21       ;5      ;7         ;"FD"     ;"6E"        ;"o"   ;"-"       ;3
245   ;"OR (IY+o)"    ;19      ;21       ;5      ;7         ;"FD"     ;"B6"        ;"o"   ;"-"       ;3
321   ;"SBC A,(IY+o)" ;19      ;21       ;5      ;7         ;"FD"     ;"9E"        ;"o"   ;"-"       ;3
349   ;"SUB (IY+o)"   ;19      ;21       ;5      ;7         ;"FD"     ;"96"        ;"o"   ;"-"       ;3
356   ;"XOR (IY+o)"   ;19      ;21       ;5      ;7         ;"FD"     ;"AE"        ;"o"   ;"-"       ;3
39    ;"BIT b,(IX+o)" ;20      ;22       ;5      ;7         ;"DD"     ;"CB"        ;"o"   ;"46 +8*b" ;4
148   ;"LD (IX+o),n"  ;19      ;21       ;5      ;7         ;"DD"     ;"36"        ;"o"   ;"n"       ;4
156   ;"LD (nn),IX"   ;20      ;22       ;6      ;8         ;"DD"     ;"22"        ;"nn"  ;"nn"      ;4
211   ;"LD IX,(nn)"   ;20      ;22       ;6      ;8         ;"DD"     ;"2A"        ;"nn"  ;"nn"      ;4
212   ;"LD IX,nn"     ;14      ;16       ;4      ;4         ;"DD"     ;"21"        ;"nn"  ;"nn"      ;4
275   ;"RES b,(IX+o)" ;23      ;25       ;7      ;10        ;"DD"     ;"CB"        ;"o"   ;"86 +8*b" ;4
290   ;"RL (IX+o)"    ;23      ;25       ;7      ;10        ;"DD"     ;"CB"        ;"o"   ;"16"      ;4
295   ;"RLC (IX+o)"   ;23      ;25       ;7      ;10        ;"DD"     ;"CB"        ;"o"   ;"06"      ;4
301   ;"RR (IX+o)"    ;23      ;25       ;7      ;10        ;"DD"     ;"CB"        ;"o"   ;"1E"      ;4
306   ;"RRC (IX+o)"   ;23      ;25       ;7      ;10        ;"DD"     ;"CB"        ;"o"   ;"0E"      ;4
332   ;"SET b,(IX+o)" ;23      ;25       ;7      ;10        ;"DD"     ;"CB"        ;"o"   ;"C6 +8*b" ;4
336   ;"SLA (IX+o)"   ;23      ;25       ;7      ;10        ;"DD"     ;"CB"        ;"o"   ;"26"      ;4
340   ;"SRA (IX+o)"   ;23      ;25       ;7      ;10        ;"DD"     ;"CB"        ;"o"   ;"2E"      ;4
344   ;"SRL (IX+o)"   ;23      ;25       ;7      ;10        ;"DD"     ;"CB"        ;"o"   ;"3E"      ;4
153   ;"LD (nn),BC"   ;20      ;22       ;6      ;8         ;"ED"     ;"43"        ;"nn"  ;"nn"      ;4
154   ;"LD (nn),DE"   ;20      ;22       ;6      ;8         ;"ED"     ;"53"        ;"nn"  ;"nn"      ;4
158   ;"LD (nn),SP"   ;20      ;22       ;6      ;8         ;"ED"     ;"73"        ;"nn"  ;"nn"      ;4
178   ;"LD BC,(nn)"   ;20      ;22       ;6      ;8         ;"ED"     ;"4B"        ;"nn"  ;"nn"      ;4
194   ;"LD DE,(nn)"   ;20      ;22       ;6      ;8         ;"ED"     ;"5B"        ;"nn"  ;"nn"      ;4
229   ;"LD SP,(nn)"   ;20      ;22       ;6      ;8         ;"ED"     ;"7B"        ;"nn"  ;"nn"      ;4
40    ;"BIT b,(IY+o)" ;20      ;22       ;5      ;7         ;"FD"     ;"CB"        ;"o"   ;"46 +8*b" ;4
150   ;"LD (IY+o),n"  ;19      ;21       ;5      ;7         ;"FD"     ;"36"        ;"o"   ;"n"       ;4
157   ;"LD (nn),IY"   ;20      ;22       ;6      ;8         ;"FD"     ;"22"        ;"nn"  ;"nn"      ;4
217   ;"LD IY,(nn)"   ;20      ;22       ;6      ;8         ;"FD"     ;"2A"        ;"nn"  ;"nn"      ;4
218   ;"LD IY,nn"     ;14      ;16       ;4      ;4         ;"FD"     ;"21"        ;"nn"  ;"nn"      ;4
276   ;"RES b,(IY+o)" ;23      ;25       ;7      ;10        ;"FD"     ;"CB"        ;"o"   ;"86 +8*b" ;4
291   ;"RL (IY+o)"    ;23      ;25       ;7      ;10        ;"FD"     ;"CB"        ;"o"   ;"16"      ;4
296   ;"RLC (IY+o)"   ;23      ;25       ;7      ;10        ;"FD"     ;"CB"        ;"o"   ;"06"      ;4
302   ;"RR (IY+o)"    ;23      ;25       ;7      ;10        ;"FD"     ;"CB"        ;"o"   ;"1E"      ;4
307   ;"RRC (IY+o)"   ;23      ;25       ;7      ;10        ;"FD"     ;"CB"        ;"o"   ;"0E"      ;4
333   ;"SET b,(IY+o)" ;23      ;25       ;7      ;10        ;"FD"     ;"CB"        ;"o"   ;"C6 +8*b" ;4
337   ;"SLA (IY+o)"   ;23      ;25       ;7      ;10        ;"FD"     ;"CB"        ;"o"   ;"26"      ;4
341   ;"SRA (IY+o)"   ;23      ;25       ;7      ;10        ;"FD"     ;"CB"        ;"o"   ;"2E"      ;4
345   ;"SRL (IY+o)"   ;23      ;25       ;7      ;10        ;"FD"     ;"CB"        ;"o"   ;"3E"      ;4
